file_name,left,right,top,bottom,min_value,max_value,pixel_horiz,pixel_vert,number_of_nan
2222-132_reproject_resolve,-5207795.0009919815,-5207665.999068905,-2722974.108625381,-2723167.1099140407,0.0,11.16139,260,388,0
2222-211_reproject_resolve,-5207664.61349538,-5207085.613064345,-2722974.27064043,-2723482.771131107,-0.54934084,17.296936,1160,1019,0
2222-212_reproject_resolve,-5207084.760331311,-5206633.759778214,-2722974.303790237,-2723477.3042862685,-0.40756837,14.748854,904,1008,0
2222-222_reproject_resolve,-5205670.728003085,-5205347.226464624,-2722993.7513650027,-2723606.2517725006,0.0,7.6221437,650,1227,0
2222-224_reproject_resolve,-5205773.467512461,-5205449.466743231,-2723607.7372421096,-2724038.237821484,0.0,6.638491,650,863,0
2222-231_reproject_resolve,-5205345.357856746,-5204766.357425711,-2722974.027863939,-2723439.0284004197,-1.2615653,9.597648,1160,932,0
2222-232_reproject_resolve,-5204765.532240832,-5204262.031745292,-2722974.162295072,-2723599.162694433,-0.76232827,12.805551,1009,1252,0
2222-233_reproject_resolve,-5204921.880209726,-5204796.378233442,-2724110.2478558915,-2724239.7497716,0.0,7.036405,253,261,0
2222-234_reproject_resolve,-5204459.996822994,-5204186.995910586,-2723702.4720618697,-2723804.474489054,0.0,6.1353197,548,206,0
2222-244_reproject_resolve,-5206938.910434105,-5206648.909574999,-2725410.288778292,-2725450.794802388,0.0,4.3478856,582,83,0
2222-251_reproject_resolve,-5205953.022850866,-5205926.513759958,-2724607.322552975,-2724639.830015661,0.0,7.740696,55,67,0
2222-252_reproject_resolve,-5205925.345761516,-5205346.345330481,-2724384.1935495636,-2724873.6940592476,-1.7830118,10.459423,1160,981,0
2222-253_reproject_resolve,-5206416.516360617,-5206398.003540104,-2725500.4734912748,-2725507.006824608,0.0,3.0507765,39,15,0
2222-254_reproject_resolve,-5205577.3360746745,-5205346.834994761,-2724874.532529414,-2724938.036405383,-0.022322997,8.727091,463,129,0
2222-261_reproject_resolve,-5205345.536044089,-5204819.535569706,-2724241.0617862334,-2724873.5621808665,0.0,10.786099,1054,1267,0
2222-262_reproject_resolve,-5204699.961598986,-5204324.960934092,-2724448.076784298,-2724873.5773704643,0.0,7.5037193,752,853,0
2222-263_reproject_resolve,-5205345.435990764,-5205288.9316429375,-2724874.7027472886,-2724934.706845649,0.0,6.0732594,115,122,0
2222-264_reproject_resolve,-5204448.75074926,-5204344.748368308,-2724874.706365153,-2724913.2126942673,0.0,4.290693,210,79,0
2222-334_reproject_resolve,-5207698.436886225,-5207665.929423538,-2726319.2145340117,-2726370.7192959166,0.0,4.08035,67,105,0
2222-362_reproject_resolve,-5208152.869391973,-5208143.844391973,-2727034.027483933,-2727043.052483933,0.0,3.3116088,20,20,0
2222-364_reproject_resolve,-5207973.393229187,-5207685.891499083,-2727563.1974526066,-2728041.1979745273,0.0,14.783997,578,958,0
2222-411_reproject_resolve,-5207572.467099596,-5207086.4660739545,-2725562.4801406055,-2726140.4805723843,0.0,7.074315,975,1158,0
2222-412_reproject_resolve,-5207084.8709637,-5206505.870532665,-2725593.0874925656,-2726103.0879818024,0.0,6.8945136,1160,1022,0
2222-413_reproject_resolve,-5207664.549202882,-5207114.548749161,-2726141.9250715435,-2726405.4260167233,0.0,5.953727,1102,529,0
2222-414_reproject_resolve,-5206520.561279932,-5206509.540446599,-2726267.1729514194,-2726278.193784753,0.0,7.653124,24,24,0
2222-421_reproject_resolve,-5206505.344559638,-5205970.34409322,-2725508.0998163745,-2726124.100221561,0.0,7.427589,1072,1234,0
2222-422_reproject_resolve,-5205693.338488983,-5205346.837769559,-2725937.5369133553,-2726141.0381358494,0.0,7.7260156,695,409,0
2222-423_reproject_resolve,-5206505.232142308,-5206208.231303382,-2726191.2439440447,-2726353.7454730966,0.0,8.594133,596,327,0
2222-424_reproject_resolve,-5205710.449309625,-5205346.448624693,-2726141.974086538,-2726774.474481171,0.0,9.254011,730,1267,0
2222-431_reproject_resolve,-5205345.486109358,-5205311.478966502,-2726099.168709793,-2726103.7141643385,0.0,3.287463,70,11,0
2222-433_reproject_resolve,-5205345.581581223,-5204982.58089441,-2726175.621469525,-2726774.1218865393,-1.5814313,8.045069,728,1199,0
2222-442_reproject_resolve,-5206874.785192907,-5206868.251859574,-2727390.096467938,-2727407.609981451,0.0,4.041246,15,37,0
2222-443_reproject_resolve,-5207316.85485665,-5207242.851523317,-2727814.4359176783,-2727848.4430605355,0.0,5.854922,150,70,0
2222-444_reproject_resolve,-5207075.50875965,-5206735.508026512,-2727408.710233243,-2727623.211393336,0.0,8.2253895,682,431,0
2222-452_reproject_resolve,-5205887.084059693,-5205347.083136332,-2726775.572790152,-2727408.073184785,-0.13700439,5.4570475,1083,1267,0
2222-453_reproject_resolve,-5206074.023217564,-5205927.019850561,-2727628.3388811094,-2728041.3394849743,0.0,6.8671813,297,828,0
2222-454_reproject_resolve,-5205925.35429421,-5205346.353863175,-2727408.8040465633,-2728041.3044411964,0.0,7.278605,1160,1267,0
2222-461_reproject_resolve,-5205345.547667516,-5204903.547103182,-2726775.5535024717,-2727408.0538971047,0.0,8.300046,886,1267,0
2222-462_reproject_resolve,-5204587.624750949,-5204187.623505619,-2726799.443869332,-2727407.4442798407,-0.01482666,8.952651,803,1218,0
2222-463_reproject_resolve,-5205345.6341951955,-5205045.133366008,-2727408.7164622745,-2727695.71733033,-0.060190428,10.342359,603,576,0
2222-464_reproject_resolve,-5204504.672396853,-5204393.67016471,-2727408.960942879,-2727614.4621535325,0.0,6.6102343,224,413,0
2224-131_reproject_resolve,-5208785.801553296,-5208390.300922779,-2728148.439671489,-2728672.4401476793,0.0,6.707555,793,1050,0
2224-132_reproject_resolve,-5208029.958031788,-5207815.956868997,-2728042.276265528,-2728674.776660161,0.0,3.6393754,430,1267,0
2224-134_reproject_resolve,-5208064.210932187,-5207818.209920041,-2728676.25349625,-2728848.7549371724,0.0,7.227861,494,347,0
2224-221_reproject_resolve,-5206076.359595083,-5205926.357939454,-2728042.7520854766,-2728528.7525988235,0.0,7.5072923,302,974,0
2224-222_reproject_resolve,-5205925.15274376,-5205442.652226697,-2728042.5152712874,-2728504.015811828,0.0,7.538204,967,925,0
2224-223_reproject_resolve,-5206417.498887979,-5206336.495839199,-2729009.876584483,-2729173.8780996343,-0.6173169,5.3026166,164,330,0
2224-224_reproject_resolve,-5205675.150304133,-5205346.649545408,-2728790.103369194,-2729308.603850426,0.0,5.4545197,659,1039,0
2224-231_reproject_resolve,-5204811.551991298,-5204767.046496793,-2728624.033486445,-2728675.0382941375,0.0,4.1156178,91,104,0
2224-232_reproject_resolve,-5204765.722515724,-5204275.222007076,-2728533.784532919,-2728674.7862934824,0.0,11.281452,983,284,0
2224-233_reproject_resolve,-5205345.147002952,-5204766.646571546,-2728676.33271444,-2729308.833109073,0.0,12.074917,1159,1267,0
2224-234_reproject_resolve,-5204765.80964134,-5204186.809210305,-2728676.3490229878,-2729039.349709801,-0.6625655,11.730075,1160,728,0
2224-242_reproject_resolve,-5206544.541815208,-5206506.535404952,-2729333.1969123,-2729511.6983050574,0.0,4.44152,78,359,0
2224-244_reproject_resolve,-5206916.420514509,-5206506.419906236,-2730093.540061193,-2730416.0408339906,-0.05248096,9.257222,822,647,0
2224-251_reproject_resolve,-5206505.169422468,-5205926.168991433,-2729357.9196549277,-2729941.920508899,0.0,8.1777315,1160,1171,0
2224-252_reproject_resolve,-5205925.36135273,-5205346.360921695,-2729309.7541884407,-2729942.7545827627,-0.8288843,9.862424,1160,1268,0
2224-253_reproject_resolve,-5206505.566201686,-5205926.565770651,-2729943.5496462,-2730576.050040833,-0.036330566,7.9786158,1160,1267,0
2224-254_reproject_resolve,-5205925.327477036,-5205346.327046001,-2729943.5515416977,-2730576.0519363307,-0.58068496,9.12334,1160,1267,0
2224-261_reproject_resolve,-5205345.530224532,-5204815.029754165,-2729309.7387979594,-2729942.7391922814,-0.7586893,7.399602,1063,1268,0
2224-262_reproject_resolve,-5204730.255313975,-5204186.754854838,-2729335.9679028024,-2729608.969724296,-0.02039795,6.971355,1089,549,0
2224-263_reproject_resolve,-5205345.549099969,-5204766.548668934,-2729943.4513043035,-2730576.4516986255,-2.431758,10.025428,1160,1268,0
2224-264_reproject_resolve,-5204765.737543376,-5204186.737112341,-2730078.4085862585,-2730576.4090872607,-0.66236305,14.087288,1160,998,0
2224-412_reproject_resolve,-5207021.752048338,-5206901.749982222,-2731006.0416727047,-2731174.0431519947,0.0,4.8673973,242,338,0
2224-414_reproject_resolve,-5206570.551138096,-5206551.038942974,-2731393.497785267,-2731450.5020956118,0.0,3.7819421,41,116,0
2224-421_reproject_resolve,-5206465.724514057,-5205926.724051094,-2730577.8043513317,-2731210.3047459647,0.0,7.1885657,1080,1267,0
2224-422_reproject_resolve,-5205925.370491666,-5205439.869977791,-2730577.175662457,-2731210.176056779,0.0,4.6539826,973,1268,0
2224-423_reproject_resolve,-5206231.197695305,-5205926.696876974,-2731211.1927321497,-2731705.6932366905,0.0,6.5947485,611,991,0
2224-424_reproject_resolve,-5205925.2717761295,-5205346.271345095,-2731211.0158764473,-2731844.0162707693,0.0,12.4968815,1160,1268,0
2224-431_reproject_resolve,-5205299.450597273,-5204767.4496600665,-2730577.489499344,-2731172.489918807,0.0,7.7897553,1067,1192,0
2224-432_reproject_resolve,-5204765.755419206,-5204327.75484973,-2730577.379670212,-2731177.8800858394,-0.008581368,8.795459,878,1203,0
2224-433_reproject_resolve,-5205345.558817685,-5204767.058386278,-2731355.7759241057,-2731843.7764353533,0.0,10.4760685,1159,978,0
2224-434_reproject_resolve,-5204765.74451475,-5204186.744083716,-2731408.505050288,-2731843.5056236824,-1.1632714,10.215607,1160,872,0
2224-452_reproject_resolve,-5205633.233795553,-5205346.732925988,-2731844.680700689,-2732477.681095011,0.0,6.8708324,575,1268,0
2224-454_reproject_resolve,-5205651.566564244,-5205346.565747251,-2732478.59628042,-2733111.596674742,-0.2330249,8.125438,612,1268,0
2224-461_reproject_resolve,-5205345.442810062,-5204766.942378656,-2731844.9965639645,-2732477.4969585976,-0.62100583,9.388769,1159,1267,0
2224-462_reproject_resolve,-5204765.9488255335,-5204186.948394499,-2731844.845630775,-2732422.3460629275,-1.1635596,10.701882,1160,1157,0
2224-463_reproject_resolve,-5205345.381657232,-5204766.881225825,-2732478.6375319893,-2733111.637926311,-0.46687013,8.176173,1159,1268,0
2224-464_reproject_resolve,-5204765.69327136,-5204689.190045554,-2732495.2450901805,-2732947.746191502,0.0,5.345523,155,908,0
