file_name,left,right,top,bottom,min_value,max_value,pixel_horiz,pixel_vert,number_of_nan
4331-223_reproject,-5171726.341830434,-5171129.846469843,-2708403.7404886354,-2709051.129490085,-2.014776,25.082525,1091,1184,0
4331-242_reproject,-5172305.915056727,-5171709.460357655,-2709036.486799513,-2709660.301805882,-0.50156736,14.337657,1091,1141,0
4331-262_reproject,-5169986.926908178,-5169390.400685648,-2709036.284459625,-2709685.3487714785,-2.2123828,13.772414,1091,1187,0
4331-224_reproject,-5171146.548751057,-5170550.048062172,-2708403.414222686,-2709052.4507520604,-2.5381837,27.009089,1091,1187,0
4331-161_reproject,-5173473.965460548,-5173448.750750835,-2709065.623468988,-2709121.5343470476,0.0,10.1195,47,103,0
4331-211_reproject,-5172885.978191453,-5172288.956869125,-2707770.5749188527,-2708419.58251581,-0.7584619,15.91404,1092,1187,0
4331-214_reproject,-5172306.171746103,-5171709.125891781,-2708403.419992856,-2709052.4542579576,-1.0272925,19.231972,1092,1187,0
4331-251_reproject,-5171726.3595830165,-5171129.859243788,-2709044.6863502027,-2709684.9665308422,-1.1937939,13.340359,1091,1171,0
4331-134_reproject,-5173465.790977172,-5172868.747222709,-2708403.4175390503,-2709052.449521445,-0.44903076,14.814733,1092,1187,0
4331-261_reproject,-5170566.736289264,-5169970.211097059,-2709036.2791931387,-2709685.342383923,-2.0234106,18.927439,1091,1187,0
4331-234_reproject,-5169986.921909825,-5169390.419157294,-2708403.389257002,-2709052.4280317747,-2.3401196,23.34302,1091,1187,0
4331-241_reproject,-5172883.240399904,-5172289.225836895,-2709036.450871183,-2709416.7950624004,-1.2042505,32.617947,1088,697,0
4331-212_reproject,-5172306.163787893,-5171709.141417665,-2707770.575527636,-2708419.5842637406,-1.1176734,20.695948,1092,1187,0
4331-131_reproject,-5174045.604358675,-5173448.585144155,-2707770.5867429706,-2708419.592048581,-0.64921874,15.688794,1092,1187,0
4331-253_reproject,-5171144.965279575,-5171130.153219648,-2709675.4181511854,-2709763.74191594,0.0,10.89495,28,162,0
4331-112_reproject,-5175733.0250527635,-5175575.8975727875,-2707770.950756779,-2707794.9563439977,0.0,9.762021,289,45,0
4331-122_reproject,-5174112.576537262,-5174028.414004417,-2707776.1466193832,-2707833.530164505,-0.6111719,9.08572,155,106,0
4331-232_reproject,-5169986.918791644,-5169390.459403111,-2707778.253731917,-2708419.5843772027,-1.0769103,28.818907,1091,1173,0
4331-222_reproject,-5171146.543154128,-5170550.065927348,-2707770.578704365,-2708419.589705246,-0.95809317,21.381788,1091,1187,0
4331-132_reproject,-5173465.791791001,-5172868.771520305,-2707770.5859715766,-2708419.59242533,-0.42975342,21.060114,1092,1187,0
4331-233_reproject,-5170566.730492206,-5169970.22876881,-2708403.417909759,-2709052.455564758,-3.13522,22.035719,1091,1187,0
4331-263_reproject,-5170564.474291517,-5169969.723028,-2709669.5271317996,-2710094.2713705427,-2.5433605,13.675487,1089,778,0
4331-133_reproject,-5173695.128464965,-5173448.973172404,-2708406.8495603492,-2709016.481376224,-0.40661132,14.716843,450,1113,0
4331-252_reproject,-5171146.544877778,-5170550.020719625,-2709036.2855829517,-2709685.3476486113,-2.5049877,15.745725,1091,1187,0
4331-213_reproject,-5172885.976364587,-5172288.9315581145,-2708403.4184788796,-2709052.45160489,-0.47730714,15.483437,1092,1187,0
4331-162_reproject,-5173463.438788756,-5172868.730076121,-2709036.2297595562,-2709457.1173594906,-0.33909667,23.629488,1089,771,0
4331-264_reproject,-5169984.287639859,-5169390.2200871175,-2709669.127344557,-2710056.063708256,-2.6501977,13.577047,1088,709,0
4331-254_reproject,-5171143.561026045,-5170549.619853758,-2709669.1043446297,-2710022.627747086,-2.7389917,17.572767,1088,648,0
4331-231_reproject,-5170566.736930368,-5169970.25866907,-2707770.581273248,-2708419.5933997603,-2.4563656,16.638214,1091,1187,0
4331-221_reproject,-5171726.359381156,-5171129.883193049,-2707770.576714692,-2708419.5865854216,-3.0027149,21.193558,1091,1187,0
4314-314_reproject,-5168827.278159113,-5168231.054456779,-2700810.9914463502,-2701459.7265940267,-0.3516699,25.53812,1091,1187,0
