Epoch: [0][0/262]	Time 18.850 (18.850)	Loss -0.1321 (-0.1321)
Epoch: [0][1/262]	Time 1.128 (19.978)	Loss -0.9691 (-0.5506)
Epoch: [0][2/262]	Time 1.137 (21.115)	Loss -1.6108 (-0.9040)
Epoch: [0][3/262]	Time 1.140 (22.255)	Loss -1.1260 (-0.9595)
Epoch: [0][4/262]	Time 1.140 (23.395)	Loss -1.7886 (-1.1253)
Epoch: [0][5/262]	Time 1.134 (24.528)	Loss -1.9814 (-1.2680)
Epoch: [0][6/262]	Time 1.136 (25.665)	Loss -1.5873 (-1.3136)
Epoch: [0][7/262]	Time 1.135 (26.800)	Loss -1.9234 (-1.3898)
Epoch: [0][8/262]	Time 1.148 (27.948)	Loss -1.9702 (-1.4543)
Epoch: [0][9/262]	Time 1.145 (29.093)	Loss -2.0209 (-1.5110)
Epoch: [0][10/262]	Time 1.132 (30.225)	Loss -1.9302 (-1.5491)
Epoch: [0][11/262]	Time 1.130 (31.355)	Loss -1.8447 (-1.5737)
Epoch: [0][12/262]	Time 1.138 (32.493)	Loss -1.9967 (-1.6062)
Epoch: [0][13/262]	Time 1.144 (33.637)	Loss -2.0055 (-1.6348)
Epoch: [0][14/262]	Time 1.129 (34.766)	Loss -2.0114 (-1.6599)
Epoch: [0][15/262]	Time 1.134 (35.900)	Loss -1.9610 (-1.6787)
Epoch: [0][16/262]	Time 1.135 (37.035)	Loss -2.0446 (-1.7002)
Epoch: [0][17/262]	Time 1.142 (38.177)	Loss -1.9427 (-1.7137)
Epoch: [0][18/262]	Time 1.130 (39.306)	Loss -2.0066 (-1.7291)
Epoch: [0][19/262]	Time 1.135 (40.442)	Loss -1.9574 (-1.7405)
Epoch: [0][20/262]	Time 1.140 (41.582)	Loss -2.0062 (-1.7532)
Epoch: [0][21/262]	Time 1.150 (42.732)	Loss -2.0562 (-1.7669)
Epoch: [0][22/262]	Time 1.137 (43.869)	Loss -1.9367 (-1.7743)
Epoch: [0][23/262]	Time 1.210 (45.079)	Loss -2.0393 (-1.7854)
Epoch: [0][24/262]	Time 1.140 (46.219)	Loss -1.9368 (-1.7914)
Epoch: [0][25/262]	Time 1.140 (47.360)	Loss -1.9239 (-1.7965)
Epoch: [0][26/262]	Time 1.134 (48.494)	Loss -2.0711 (-1.8067)
Epoch: [0][27/262]	Time 1.140 (49.634)	Loss -1.7585 (-1.8050)
Epoch: [0][28/262]	Time 1.131 (50.765)	Loss -2.0581 (-1.8137)
Epoch: [0][29/262]	Time 1.132 (51.897)	Loss -1.9155 (-1.8171)
Epoch: [0][30/262]	Time 1.137 (53.034)	Loss -2.0624 (-1.8250)
Epoch: [0][31/262]	Time 1.145 (54.180)	Loss -2.0007 (-1.8305)
Epoch: [0][32/262]	Time 1.147 (55.327)	Loss -2.0054 (-1.8358)
Epoch: [0][33/262]	Time 1.132 (56.460)	Loss -2.0563 (-1.8423)
Epoch: [0][34/262]	Time 1.144 (57.603)	Loss -1.9475 (-1.8453)
Epoch: [0][35/262]	Time 1.144 (58.747)	Loss -1.8683 (-1.8459)
Epoch: [0][36/262]	Time 1.144 (59.892)	Loss -1.9292 (-1.8482)
Epoch: [0][37/262]	Time 1.138 (61.030)	Loss -1.9949 (-1.8520)
Epoch: [0][38/262]	Time 1.141 (62.171)	Loss -1.9416 (-1.8543)
Epoch: [0][39/262]	Time 1.147 (63.318)	Loss -1.9303 (-1.8562)
Epoch: [0][40/262]	Time 1.138 (64.457)	Loss -1.9657 (-1.8589)
Epoch: [0][41/262]	Time 1.137 (65.593)	Loss -2.0437 (-1.8633)
Epoch: [0][42/262]	Time 1.143 (66.736)	Loss -1.9946 (-1.8664)
Epoch: [0][43/262]	Time 1.150 (67.886)	Loss -2.0672 (-1.8709)
Epoch: [0][44/262]	Time 1.144 (69.031)	Loss -2.0517 (-1.8749)
Epoch: [0][45/262]	Time 1.141 (70.172)	Loss -1.9427 (-1.8764)
Epoch: [0][46/262]	Time 1.134 (71.306)	Loss -2.0023 (-1.8791)
Epoch: [0][47/262]	Time 1.141 (72.447)	Loss -1.9263 (-1.8801)
Epoch: [0][48/262]	Time 1.148 (73.595)	Loss -2.0174 (-1.8829)
Epoch: [0][49/262]	Time 1.152 (74.747)	Loss -2.0736 (-1.8867)
Epoch: [0][50/262]	Time 1.147 (75.894)	Loss -2.0731 (-1.8903)
Epoch: [0][51/262]	Time 1.139 (77.033)	Loss -1.9558 (-1.8916)
Epoch: [0][52/262]	Time 1.138 (78.171)	Loss -1.9564 (-1.8928)
Epoch: [0][53/262]	Time 1.147 (79.318)	Loss -1.9428 (-1.8938)
Epoch: [0][54/262]	Time 1.149 (80.467)	Loss -2.0279 (-1.8962)
Epoch: [0][55/262]	Time 1.147 (81.614)	Loss -2.0493 (-1.8989)
Epoch: [0][56/262]	Time 1.138 (82.752)	Loss -1.9835 (-1.9004)
Epoch: [0][57/262]	Time 1.136 (83.887)	Loss -2.0315 (-1.9027)
Epoch: [0][58/262]	Time 1.147 (85.034)	Loss -1.9179 (-1.9029)
Epoch: [0][59/262]	Time 1.148 (86.181)	Loss -2.0769 (-1.9058)
Epoch: [0][60/262]	Time 1.153 (87.335)	Loss -1.9009 (-1.9057)
Epoch: [0][61/262]	Time 1.142 (88.476)	Loss -2.0408 (-1.9079)
Epoch: [0][62/262]	Time 1.135 (89.611)	Loss -1.9513 (-1.9086)
Epoch: [0][63/262]	Time 1.164 (90.775)	Loss -1.9392 (-1.9091)
Epoch: [0][64/262]	Time 1.147 (91.922)	Loss -2.0252 (-1.9109)
Epoch: [0][65/262]	Time 1.156 (93.078)	Loss -2.0630 (-1.9132)
Epoch: [0][66/262]	Time 1.146 (94.224)	Loss -2.0346 (-1.9150)
Epoch: [0][67/262]	Time 1.145 (95.369)	Loss -2.0100 (-1.9164)
Epoch: [0][68/262]	Time 1.140 (96.509)	Loss -1.9504 (-1.9169)
Epoch: [0][69/262]	Time 1.139 (97.648)	Loss -2.0245 (-1.9184)
Epoch: [0][70/262]	Time 1.142 (98.790)	Loss -1.9491 (-1.9189)
Epoch: [0][71/262]	Time 1.185 (99.975)	Loss -2.0665 (-1.9209)
Epoch: [0][72/262]	Time 1.155 (101.130)	Loss -2.0521 (-1.9227)
Epoch: [0][73/262]	Time 1.144 (102.274)	Loss -1.9342 (-1.9229)
Epoch: [0][74/262]	Time 1.135 (103.410)	Loss -2.0551 (-1.9246)
Epoch: [0][75/262]	Time 1.142 (104.552)	Loss -2.0600 (-1.9264)
Epoch: [0][76/262]	Time 1.148 (105.700)	Loss -1.9112 (-1.9262)
Epoch: [0][77/262]	Time 1.150 (106.850)	Loss -1.9273 (-1.9262)
Epoch: [0][78/262]	Time 1.165 (108.015)	Loss -2.0402 (-1.9277)
Epoch: [0][79/262]	Time 1.138 (109.152)	Loss -2.0666 (-1.9294)
Epoch: [0][80/262]	Time 1.141 (110.293)	Loss -2.0315 (-1.9307)
Epoch: [0][81/262]	Time 1.144 (111.437)	Loss -1.9977 (-1.9315)
Epoch: [0][82/262]	Time 1.147 (112.584)	Loss -2.0109 (-1.9324)
Epoch: [0][83/262]	Time 1.154 (113.738)	Loss -1.9747 (-1.9329)
