Epoch: [0][0/236]	Time 18.669 (18.669)	Loss 0.1930 (0.1930)
Epoch: [0][1/236]	Time 1.090 (19.759)	Loss -0.2414 (-0.0242)
Epoch: [0][2/236]	Time 1.432 (21.191)	Loss -0.7846 (-0.2776)
Epoch: [0][3/236]	Time 1.307 (22.498)	Loss -0.9662 (-0.4498)
Epoch: [0][4/236]	Time 1.490 (23.988)	Loss -1.3214 (-0.6241)
Epoch: [0][5/236]	Time 1.230 (25.218)	Loss -1.5969 (-0.7862)
Epoch: [0][6/236]	Time 1.230 (26.448)	Loss -1.7412 (-0.9227)
Epoch: [0][7/236]	Time 1.339 (27.788)	Loss -1.6934 (-1.0190)
Epoch: [0][8/236]	Time 1.456 (29.244)	Loss -1.7597 (-1.1013)
Epoch: [0][9/236]	Time 1.399 (30.643)	Loss -1.7943 (-1.1706)
Epoch: [0][10/236]	Time 1.258 (31.901)	Loss -1.7690 (-1.2250)
Epoch: [0][11/236]	Time 1.582 (33.484)	Loss -1.8959 (-1.2809)
Epoch: [0][12/236]	Time 1.597 (35.080)	Loss -1.7929 (-1.3203)
Epoch: [0][13/236]	Time 1.762 (36.843)	Loss -1.8860 (-1.3607)
Epoch: [0][14/236]	Time 1.825 (38.668)	Loss -1.8582 (-1.3939)
Epoch: [0][15/236]	Time 1.501 (40.168)	Loss -1.7981 (-1.4191)
Epoch: [0][16/236]	Time 1.227 (41.396)	Loss -1.8040 (-1.4418)
Epoch: [0][17/236]	Time 1.287 (42.683)	Loss -1.8017 (-1.4618)
Epoch: [0][18/236]	Time 1.565 (44.248)	Loss -1.8720 (-1.4834)
Epoch: [0][19/236]	Time 1.508 (45.756)	Loss -1.8539 (-1.5019)
Epoch: [0][20/236]	Time 1.730 (47.486)	Loss -1.8569 (-1.5188)
Epoch: [0][21/236]	Time 1.524 (49.010)	Loss -1.8114 (-1.5321)
Epoch: [0][22/236]	Time 1.683 (50.693)	Loss -1.8724 (-1.5469)
Epoch: [0][23/236]	Time 1.795 (52.488)	Loss -1.8520 (-1.5596)
Epoch: [0][24/236]	Time 1.766 (54.254)	Loss -1.9369 (-1.5747)
Epoch: [0][25/236]	Time 1.663 (55.917)	Loss -1.8421 (-1.5850)
Epoch: [0][26/236]	Time 1.831 (57.748)	Loss -1.8216 (-1.5937)
Epoch: [0][27/236]	Time 1.886 (59.635)	Loss -1.7938 (-1.6009)
Epoch: [0][28/236]	Time 1.651 (61.285)	Loss -1.8504 (-1.6095)
