Epoch: [0][0/236]	Time 18.932 (18.932)	Loss 0.4807 (0.4807)
Epoch: [0][1/236]	Time 1.138 (20.070)	Loss -0.1747 (0.1530)
Epoch: [0][2/236]	Time 1.166 (21.236)	Loss -0.6165 (-0.1035)
Epoch: [0][3/236]	Time 1.311 (22.547)	Loss -1.0524 (-0.3407)
Epoch: [0][4/236]	Time 1.490 (24.037)	Loss -1.2648 (-0.5255)
Epoch: [0][5/236]	Time 1.225 (25.262)	Loss -1.4868 (-0.6858)
Epoch: [0][6/236]	Time 1.237 (26.498)	Loss -1.6903 (-0.8293)
Epoch: [0][7/236]	Time 1.344 (27.842)	Loss -1.5939 (-0.9248)
Epoch: [0][8/236]	Time 1.446 (29.288)	Loss -1.5868 (-0.9984)
Epoch: [0][9/236]	Time 1.411 (30.698)	Loss -1.7048 (-1.0690)
Epoch: [0][10/236]	Time 1.252 (31.950)	Loss -1.7525 (-1.1312)
Epoch: [0][11/236]	Time 1.580 (33.530)	Loss -1.8816 (-1.1937)
Epoch: [0][12/236]	Time 1.601 (35.130)	Loss -1.7679 (-1.2379)
Epoch: [0][13/236]	Time 1.763 (36.894)	Loss -1.8666 (-1.2828)
Epoch: [0][14/236]	Time 1.821 (38.714)	Loss -1.8478 (-1.3205)
Epoch: [0][15/236]	Time 1.506 (40.221)	Loss -1.7904 (-1.3498)
Epoch: [0][16/236]	Time 1.206 (41.427)	Loss -1.7756 (-1.3749)
Epoch: [0][17/236]	Time 1.279 (42.706)	Loss -1.7937 (-1.3981)
Epoch: [0][18/236]	Time 1.561 (44.267)	Loss -1.8496 (-1.4219)
Epoch: [0][19/236]	Time 1.507 (45.774)	Loss -1.8419 (-1.4429)
Epoch: [0][20/236]	Time 1.752 (47.526)	Loss -1.8364 (-1.4616)
Epoch: [0][21/236]	Time 1.519 (49.045)	Loss -1.7957 (-1.4768)
Epoch: [0][22/236]	Time 1.670 (50.715)	Loss -1.8694 (-1.4939)
Epoch: [0][23/236]	Time 1.793 (52.508)	Loss -1.8444 (-1.5085)
Epoch: [0][24/236]	Time 1.759 (54.267)	Loss -1.9491 (-1.5261)
Epoch: [0][25/236]	Time 1.673 (55.940)	Loss -1.8317 (-1.5379)
Epoch: [0][26/236]	Time 1.842 (57.782)	Loss -1.8207 (-1.5483)
Epoch: [0][27/236]	Time 1.874 (59.656)	Loss -1.7889 (-1.5569)
Epoch: [0][28/236]	Time 1.654 (61.310)	Loss -1.8447 (-1.5669)
Epoch: [0][29/236]	Time 1.527 (62.837)	Loss -1.9839 (-1.5808)
Epoch: [0][30/236]	Time 1.810 (64.647)	Loss -1.8955 (-1.5909)
Epoch: [0][31/236]	Time 1.633 (66.280)	Loss -1.8514 (-1.5991)
Epoch: [0][32/236]	Time 1.823 (68.103)	Loss -1.8059 (-1.6053)
Epoch: [0][33/236]	Time 1.868 (69.971)	Loss -1.9206 (-1.6146)
Epoch: [0][34/236]	Time 1.705 (71.676)	Loss -1.8458 (-1.6212)
Epoch: [0][35/236]	Time 1.797 (73.474)	Loss -1.8278 (-1.6269)
